,contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,average_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games_played
0,Chad Pennington,2004,64198000.0,516,793,5823,93.87666666666668,41,20,55,329,55,108,4,30
1,Chad Pennington,2010,5750000.0,397,588,4318,93.01,21,13,33,181,34,69,1,20
2,Chad Pennington,2008,8000000.0,850,1304,9081,85.37272727272726,48,39,91,553,102,308,2,44
3,Michael Vick,2004,91000000.0,366,697,4697,76.17666666666668,23,16,66,410,200,1415,10,30
4,Michael Vick,2011,80000000.0,260,423,3472,77.07692307692308,24,7,37,231,133,803,12,26
5,Michael Vick,2013,7500000.0,457,774,5665,85.29565217391306,30,24,51,279,138,921,2,23
6,Michael Vick,2014,4000000.0,77,141,1215,67.12857142857142,5,3,15,99,36,306,2,7
7,Michael Vick,2009,6875000.0,622,1136,7417,78.47708333333334,51,39,129,817,357,2683,11,48
8,Michael Vick,2015,970000.0,64,121,604,38.84,3,2,19,85,26,153,0,10
9,Drew Brees,2012,100000000.0,2719,4019,31055,99.93106796116504,221,96,130,891,164,211,4,103
10,Drew Brees,2016,24250000.0,1796,2679,20720,100.51230769230767,149,61,126,864,106,152,6,65
11,Drew Brees,2006,60000000.0,323,500,3576,92.01875,24,15,27,223,21,49,1,16
12,Drew Brees,2005,8078000.0,833,1351,9091,82.19999999999997,58,39,67,512,119,334,3,45
13,David Carr,2007,6200000.0,1243,2070,13391,74.90789473684211,59,65,249,1466,268,1235,8,76
14,David Carr,2010,6250000.0,21,33,225,86.36666666666667,1,0,2,11,9,27,1,6
15,David Carr,2009,2100000.0,9,12,115,87.26666666666665,2,0,1,2,8,10,0,3
16,David Carr,2008,1000000.0,73,136,635,57.28571428571429,3,5,13,74,17,59,0,7
17,David Carr,2013,1050000.0,2,3,19,87.45,0,0,1,6,3,-3,0,2
18,David Carr,2011,860000.0,5,13,67,23.6,0,1,1,5,0,0,0,1
19,Josh McCown,2014,10000000.0,149,224,1829,106.3,13,1,11,37,13,69,1,8
20,Josh McCown,2017,6000000.0,276,457,3209,81.86153846153846,18,10,41,263,27,119,1,13
21,Josh McCown,2015,14000000.0,184,327,2206,69.19090909090909,11,14,36,235,25,127,3,11
22,Josh McCown,2006,6000000.0,163,270,1836,60.62222222222223,9,11,18,101,29,139,0,9
23,Josh McCown,2008,6250000.0,111,190,1151,56.43333333333333,10,11,14,92,29,143,0,12
24,Josh McCown,2005,1430000.0,335,592,3595,61.63846153846154,16,18,61,487,65,290,3,26
25,Josh McCown,2012,875000.0,35,55,414,60.46666666666667,2,4,7,43,12,68,0,3
26,Josh McCown,2012,825000.0,35,55,414,60.46666666666667,2,4,7,43,12,68,0,3
27,Josh McCown,2011,810000.0,1,6,2,13.200000000000001,0,0,1,6,4,-3,0,3
28,Carson Palmer,2005,97000000.0,263,432,2897,80.58461538461538,18,18,25,178,18,47,1,13
29,Carson Palmer,2016,21000000.0,531,842,6881,100.00833333333333,50,20,40,239,33,49,1,24
30,Carson Palmer,2014,49500000.0,362,572,4274,85.08125,24,22,41,289,27,3,0,16
31,Carson Palmer,2011,43000000.0,1780,2822,20009,87.32790697674416,137,83,138,974,162,271,4,86
