contract_player_name,contract_year,contract_value,total_passing_attempts,total_passing_completions,total_passing_yards,total_passing_rating,total_passing_touchdowns,total_passing_interceptions,total_passing_sacks,total_passing_sacks_yards_lost,total_rushing_attempts,total_rushing_yards,total_rushing_touchdowns,total_games
Chad Pennington,2004,64198000.0,516,793,5823,2816.3,41,20,55,329,55,108,4,30
Chad Pennington,2010,5750000.0,397,588,4318,1860.2,21,13,33,181,34,69,1,20
Chad Pennington,2008,8000000.0,850,1304,9081,3756.3999999999996,48,39,91,553,102,308,2,44
Chad Pennington,2000,5755010.0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Vick,2004,91000000.0,366,697,4697,2285.3,23,16,66,410,200,1415,10,30
Michael Vick,2011,80000000.0,260,423,3472,2004.0,24,7,37,231,133,803,12,26
Michael Vick,2001,37300000.0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Vick,2013,7500000.0,457,774,5665,1961.8000000000002,30,24,51,279,138,921,2,23
Michael Vick,2014,4000000.0,77,141,1215,469.9,5,3,15,99,36,306,2,7
Michael Vick,2009,6875000.0,622,1136,7417,3766.9000000000005,51,39,129,817,357,2683,11,48
Michael Vick,2015,970000.0,64,121,604,388.40000000000003,3,2,19,85,26,153,0,10
Drew Brees,2012,100000000.0,2719,4019,31055,10292.9,221,96,130,891,164,211,4,103
Drew Brees,2016,24250000.0,1796,2679,20720,6533.299999999998,149,61,126,864,106,152,6,65
Drew Brees,2018,50000000.0,737,1046,8237,2777.5000000000005,53,20,40,273,45,36,4,27
Drew Brees,2020,50000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Brees,2006,60000000.0,323,500,3576,1472.3,24,15,27,223,21,49,1,16
Drew Brees,2005,8078000.0,833,1351,9091,3698.999999999999,58,39,67,512,119,334,3,45
Drew Brees,2001,3605000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Carr,2002,48750000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Carr,2007,6200000.0,1243,2070,13391,5693.0,59,65,249,1466,268,1235,8,76
David Carr,2010,6250000.0,21,33,225,518.2,1,0,2,11,9,27,1,6
David Carr,2009,2100000.0,9,12,115,261.79999999999995,2,0,1,2,8,10,0,3
David Carr,2008,1000000.0,73,136,635,401.00000000000006,3,5,13,74,17,59,0,7
David Carr,2013,1050000.0,2,3,19,174.9,0,0,1,6,3,-3,0,2
David Carr,2012,990000.0,0,0,0,0,0,0,0,0,0,0,0,0
David Carr,2011,860000.0,5,13,67,23.6,0,1,1,5,0,0,0,1
Josh McCown,2018,10000000.0,235,349,2549,1081.2,17,8,35,245,28,98,3,11
Josh McCown,2014,10000000.0,149,224,1829,850.4,13,1,11,37,13,69,1,8
Josh McCown,2017,6000000.0,276,457,3209,1064.2,18,10,41,263,27,119,1,13
Josh McCown,2015,14000000.0,184,327,2206,761.1,11,14,36,235,25,127,3,11
Josh McCown,2006,6000000.0,163,270,1836,545.6,9,11,18,101,29,139,0,9
Josh McCown,2008,6250000.0,111,190,1151,677.1999999999999,10,11,14,92,29,143,0,12
Josh McCown,2005,1430000.0,335,592,3595,1602.6000000000001,16,18,61,487,65,290,3,26
Josh McCown,2019,2000000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh McCown,2012,875000.0,35,55,414,181.4,2,4,7,43,12,68,0,3
Josh McCown,2013,865000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh McCown,2012,825000.0,35,55,414,181.4,2,4,7,43,12,68,0,3
Josh McCown,2011,810000.0,1,6,2,39.6,0,0,1,6,4,-3,0,3
Josh McCown,2002,1388000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh McCown,2020,2125000.0,0,0,0,0,0,0,0,0,0,0,0,0
Josh McCown,2020,204000.0,0,0,0,0,0,0,0,0,0,0,0,0
Carson Palmer,2005,97000000.0,263,432,2897,1047.6,18,18,25,178,18,47,1,13
Carson Palmer,2016,21000000.0,531,842,6881,2400.2,50,20,40,239,33,49,1,24
Carson Palmer,2014,49500000.0,362,572,4274,1361.3,24,22,41,289,27,3,0,16
